,birth_date,college,end_year,height,player id,player name,position,start_year,weight
3524,19931007,University of Michigan,2017,6-6,stausni01,Nik Stauskas,G,2015,205
3525,19361011,Thomas More College,1964,6-7,stavela01,Larry Staverman,F,1959,205
3526,19490505,University of Kentucky,1980,6-5,steella01,Larry Steele,G-F,1972,180
3527,19700327,Michigan State University,1997,6-7,steigma01,Matt Steigenga,F,1997,225
3528,19760508,,2004,7-0,stepavl01,Vladimir Stepania,C,1999,236
3529,19901219,University of Memphis,2014,6-5,stephdj01,D.J. Stephens,G-F,2014,188
3530,19661021,Purdue University,1991,6-2,stephev01,Everette Stephens,G,1989,175
3531,19330518,University of Notre Dame,1956,6-3,stephja01,Jack Stephens,G-F,1956,185
3532,19730128,University of Arkansas at Little Rock,2000,6-7,stephjo01,Joe Stephens,F,1997,210
3533,19900905,University of Cincinnati,2017,6-5,stephla01,Lance Stephenson,G-F,2011,230
3534,19870807,University of Southern California,2016,6-10,stephal01,Alex Stepheson,F,2016,270
3535,19591107,Georgia Institute of Technology,1989,6-5,steppbr01,Brook Steppe,G-F,1983,195
3536,19630117,Iowa State University,1993,6-5,steveba01,Barry Stevens,G-F,1993,195
3537,19360619,University of Cincinnati,1960,6-3,stevewa01,Wayne Stevens,F,1960,185
3538,19810403,,2013,6-5,stevede01,DeShawn Stevenson,G,2001,210
3539,19470411,University of Michigan,1971,6-6,stewade01,Dennis Stewart,F,1971,220
3540,19731219,"California State University, Bakersfield",1998,6-8,stewake01,Kebu Stewart,F,1998,239
3541,19680921,Coppin State University,1997,6-8,stewala01,Larry Stewart,F,1992,220
3542,19750425,University of California,2005,6-10,stewami01,Michael Stewart,C,1998,230
3543,19350120,University of Missouri,1957,6-5,stewano01,Norm Stewart,F,1957,205
3544,19850926,University of Wisconsin,2015,6-11,stiemgr01,Greg Stiemsma,C,2012,260
3545,19601117,University of Missouri,1988,6-11,stipast01,Steve Stipanovich,C,1984,245
3546,19701210,University of Virginia,2002,6-5,stithbr01,Bryant Stith,G,1993,208
3547,19370722,St. Bonaventure University,1962,6-2,stithsa01,Sam Stith,G,1962,185
3548,19390121,St. Bonaventure University,1963,6-5,stithto01,Tom Stith,F,1963,210
3549,19621129,University of Colorado,1993,6-8,stivral01,Alex Stivrins,F,1986,220
3550,19910624,Gonzaga University,2015,5-11,stockda01,David Stockton,G,2015,165
3551,19620326,Gonzaga University,2003,6-1,stockjo01,John Stockton,G,1985,170
3552,19770609,,2011,6-9,stojape01,Peja Stojakovic,F-G,1999,220
3553,19710903,University of Arizona,1998,7-0,stokeed01,Ed Stokes,C,1998,264
3554,19630805,University of Iowa,1990,6-10,stokegr01,Greg Stokes,F-C,1986,220
3555,19940107,University of Tennessee,2017,6-9,stokeja01,Jarnell Stokes,F-C,2015,263
3556,19330617,Saint Francis University,1958,6-7,stokema01,Maurice Stokes,F-C,1956,232
3557,19201023,University of Detroit Mercy,1947,6-1,stolkar01,Art Stolkey,G,1947,180
3558,,Washington State University,1968,6-7,stollra01,Randy Stoll,C,1968,235
3559,19970210,University of Maryland,2017,6-11,stonedi01,Diamond Stone,C,2017,255
3560,19460209,Marshall University,1972,6-7,stonege01,George Stone,F,1969,195
3561,19881207,University of Texas at El Paso,2014,6-6,stoneju01,Julyan Stone,G,2012,200
3562,19770418,Arizona State University,2008,6-6,storeaw01,Awvee Storey,G-F,2005,222
3563,19730903,University of Arizona,2008,5-10,stoudda01,Damon Stoudamire,G,1996,171
3564,19821011,University of Arizona,2008,6-1,stoudsa01,Salim Stoudamire,G,2006,179
3565,19821116,,2016,6-10,stoudam01,Amar'e Stoudemire,F-C,2003,245
3566,19480816,Arizona State University,1974,6-4,stovapa01,Paul Stovall,F,1973,215
3567,19850615,University of Maryland,2008,6-5,strawdj01,D.J. Strawberry,G,2008,201
3568,19400921,Bradley University,1968,6-10,strawjo01,Joe Strawder,C,1966,235
3569,19480122,University of the Pacific,1971,6-9,stricbi01,Bill Stricker,F,1971,210
3570,19731125,University of Nebraska,2005,6-3,stricer01,Erick Strickland,G,1997,210
3571,19700714,Temple University,2003,6-9,stricma01,Mark Strickland,F,1995,210
3572,19660711,DePaul University,2005,6-3,stricro02,Rod Strickland,G,1989,175
3573,19400904,Jacksonville University,1964,6-5,stricro01,Roger Strickland,F,1964,200
3574,19580724,University of Montana,1989,6-10,stroejo01,John Stroeder,F,1988,260
3575,19680209,Xavier University,2001,6-8,stronde01,Derek Strong,F,1992,220
3576,19680510,Christopher Newport University,1993,6-4,strotla01,Lamont Strothers,G,1992,190
3577,19571029,University of Mississippi,1981,6-7,stroujo01,John Stroud,F,1981,215
3578,19410502,Mississippi State University,1968,6-0,stroure01,Red Stroud,G,1968,160
3579,19860421,Eastern Washington University,2017,6-5,stuckro01,Rodney Stuckey,G,2008,210
3580,19231113,DePaul University,1950,6-2,stumpge01,Gene Stump,F-G,1948,185
3581,19200414,University of Rhode Island,1949,5-10,stutzst01,Stan Stutz,G-F,1947,170
3582,19450118,Midwestern State University,1971,6-9,suitega01,Gary Suiter,C-F,1971,225
3583,19920304,Ohio State University,2017,6-9,sullija01,Jared Sullinger,F,2013,260
3584,19880124,Georgetown University,2013,6-8,summeda01,DaJuan Summers,F,2010,230
3585,19651111,Austin Peay State University,1989,6-11,sumptba01,Barry Sumpter,F-C,1989,215
3586,19291220,University of Illinois at Urbana-Champaign,1955,6-1,sundedo01,Don Sunderlage,G,1954,180
3587,19800210,,2005,7-2,sundobr01,Bruno Sundov,C,1999,220
3588,19610702,University of Missouri,1992,6-2,sundvjo01,Jon Sundvold,G,1984,170
3589,19730325,Florida State University,2005,6-5,surabo01,Bob Sura,G,1996,200
3590,19291116,Long Island University,1954,6-4,surhodi01,Dick Surhoff,F,1953,210
3591,19430914,La Salle University,1970,6-8,sutorge01,George Sutor,C,1968,235
3592,19610809,Pepperdine University,1985,6-3,suttlda01,Dane Suttle,G,1984,190
3593,19671203,Oral Roberts University,1996,6-2,suttogr01,Greg Sutton,G,1992,170
3594,19451030,University of the Pacific,1970,6-7,swageke01,Keith Swagerty,F,1969,235
3595,19331216,Texas Southern University,1959,6-8,swainbe01,Bennie Swain,F,1959,220
3596,19301004,University of Detroit Mercy,1954,6-6,swansno01,Norm Swanson,F,1954,210
3597,19341223,Morehead State University,1963,6-4,swartda01,Dan Swartz,F,1963,215
3598,19821025,Georgetown University,2007,6-8,sweetmi01,Mike Sweetney,F,2004,275
3599,19851203,,2009,7-0,swiftro01,Robert Swift,C,2005,245
3600,19460619,East Tennessee State University,1974,6-3,swiftsk01,Skeeter Swift,G,1970,204
3601,19791121,Louisiana State University,2009,6-9,swiftst01,Stromile Swift,F,2001,225
3602,19710109,Auburn University,1995,6-5,swinsaa01,Aaron Swinson,F,1995,230
3603,19880405,,2011,6-7,sypa01,Pape Sy,F,2011,225
3604,19210919,Western Kentucky University,1947,5-10,sydnobu01,Buck Sydnor,G,1947,175
3605,19730411,Xavier University,1996,6-9,sykesla01,Larry Sykes,F,1996,255
3606,19680201,Augustana College (SD),1997,6-11,szabobr01,Brett Szabo,C,1997,230
3607,19770305,Miami University,2009,6-7,szczewa02,Wally Szczerbiak,F,2000,244
3608,19490821,George Washington University,1972,6-6,szczewa01,Walt Szczerbiak,F,1972,210
3609,19460611,Xavier University,1974,6-10,rackllu01,Luther Rackley,C,1970,220
3610,19210329,Long Island University,1949,6-1,raderho01,Howie Rader,G-F,1949,190
3611,19590705,Oregon State University,1983,6-4,radfoma01,Mark Radford,G,1982,190
3612,19560529,Indiana University,1979,6-3,radfowa01,Wayne Radford,G,1979,205
3613,19670424,,1997,6-11,radjadi01,Dino Radja,F-C,1994,225
3614,19801119,,2013,6-10,radmavl01,Vladimir Radmanovic,F,2002,227
3615,19760808,Barton County Community College,2005,7-3,radojal01,Aleksandar Radojevic,C,2000,250
3616,19380303,Indiana University,1962,6-8,radovfr01,Frank Radovich,F,1962,235
3617,19290505,University of Wyoming,1953,6-0,radovmo01,Moe Radovich,G,1953,160
3618,19880105,,2015,7-0,radulmi01,Miroslav Raduljica,C,2014,250
3619,19350301,Saint Joseph's University,1958,6-5,radzira01,Ray Radziszewski,F,1958,210
3620,19281210,Northwestern University,1952,6-4,ragelra01,Ray Ragelis,F,1952,205
3621,19281029,Villanova University,1953,6-2,raikesh01,Sherwin Raiken,G,1953,185
3622,19561224,University of South Alabama,1983,6-7,rainsed01,Ed Rains,F,1982,190
3623,19780329,,2003,6-3,rakocig01,Igor Rakocevic,G,2003,183
3624,19580225,Santa Clara University,1995,6-8,rambiku01,Kurt Rambis,F,1982,213
3625,19850513,,2005,7-3,ramospe01,Peter John Ramos,C,2005,275
3626,19370713,New York University,1961,6-4,ramseca01,Cal Ramsey,F,1960,200
3627,19310713,University of Kentucky,1964,6-3,ramsefr01,Frank Ramsey,F-G,1955,190
3628,19210718,Bradley University,1949,6-2,ramsera01,Ray Ramsey,G-F,1949,165
3629,19670930,University of Kansas,1995,6-8,randama01,Mark Randall,F,1992,235
3630,19930205,Stanford University,2017,6-2,randlch01,Chasson Randle,G,2017,185
3631,19941129,University of Kentucky,2017,6-9,randlju01,Julius Randle,F,2015,250
3632,19890715,Louisiana State University,2014,6-10,randoan01,Anthony Randolph,F,2009,205
3633,19831124,Duke University,2015,6-10,randosh01,Shavlik Randolph,F,2006,240
3634,19810716,Michigan State University,2017,6-9,randoza01,Zach Randolph,F,2002,260
3635,19580301,San Jose State University,1981,6-6,rankwa01,Wally Rank,F-G,1981,220
3636,19580503,Ohio State University,1986,6-1,ranseke01,Kelvin Ransey,G,1981,170
3637,19270621,North Carolina State University,1952,6-1,ranzisa01,Sam Ranzino,G,1952,185
3638,19400722,Western Kentucky University,1970,6-4,rascobo01,Bobby Rascoe,G-F,1968,205
3639,19621113,University of Oregon,1993,7-0,rasmubl01,Blair Rasmussen,C,1986,250
3640,19221113,,1955,6-6,ratkoge01,George Ratkovicz,C-F,1950,220
3641,19500329,"California State University, Long Beach",1978,6-6,ratleed01,Ed Ratleff,F-G,1974,195
3642,19510607,University of Wisconsin-Eau Claire,1974,6-10,ratlimi01,Mike Ratliff,C,1973,230
3643,19730417,University of Wyoming,2011,6-10,ratlith01,Theo Ratliff,C-F,1996,225
3644,19861102,Syracuse University,2011,6-4,rautian01,Andy Rautins,G,2011,190
3645,19600320,Syracuse University,1985,6-8,rautile01,Leo Rautins,F,1984,215
3646,19840617,Villanova University,2007,6-2,rayal01,Allan Ray,G,2007,190
3647,19490121,University of Oklahoma,1981,6-9,raycl01,Clifford Ray,C,1972,230
3648,19210708,Western Kentucky University,1950,6-5,raydo01,Don Ray,F-C,1950,190
3649,19570727,Jacksonville University,1983,6-8,rayja01,James Ray,F,1981,215
3650,19340112,University of Toledo,1960,6-1,rayji01,Jim Ray,G,1957,180
3651,19410621,Indiana University,1969,6-2,raylji01,Jimmy Rayl,G,1968,175
3652,19450405,Brigham Young University,1973,6-11,raymocr01,Craig Raymond,C,1969,235
3653,19350127,Centenary College of Louisiana,1954,6-3,reaco01,Connie Rea,G-F,1954,175
3654,19500527,Bethel College,1974,6-5,reavejo01,Joe Reaves,F,1974,210
3655,19720409,,2006,7-0,rebraze01,Zeljko Rebraca,C,2002,257
3656,19671214,University of Washington,2002,6-3,recasel01,Eldridge Recasner,G,1995,190
3657,19790824,Ohio State University,2012,6-6,reddmi01,Michael Redd,G,2001,220
3658,,Syracuse University,1954,6-5,reddofr01,Frank Reddout,F,1954,195
3659,19840624,Duke University,2017,6-4,redicjj01,J.J. Redick,G,2007,190
3660,19550415,University of San Francisco,1980,6-6,redmoma01,Marlon Redmond,G,1979,188
3661,19361004,Oklahoma City University,1965,6-9,reedhu01,Hub Reed,C-F,1959,215
3662,19820116,University of Mississippi,2007,6-8,reedju01,Justin Reed,F,2005,240
3663,19421102,University of Notre Dame,1967,6-5,reedro01,Ron Reed,F,1966,205
3664,19900516,Saint Louis University,2017,6-10,reedwi02,Willie Reed,F-C,2016,220
3665,19420625,Grambling State University,1974,6-9,reedwi01,Willis Reed,C-F,1965,235
3666,19730608,Oklahoma State University,2001,7-0,reevebr01,Bryant Reeves,C,1996,275
3667,19720715,University of Arizona,2000,6-3,reevekh01,Khalid Reeves,G,1995,199
3668,19301130,Seton Hall University,1958,6-2,reganri01,Richie Regan,G,1956,180
3669,19270107,University of Wisconsin,1952,6-7,rehfedo01,Don Rehfeldt,F,1951,210
3670,19570910,University of San Francisco,1981,6-5,reidbi01,Billy Reid,G,1981,190
3671,19731230,Georgetown University,2003,6-8,reiddo01,Don Reid,F,1996,250
3672,19680331,University of North Carolina,2001,6-9,reidjr01,J.R. Reid,F,1990,247
3673,19450803,Winston-Salem State University,1968,6-6,reidji01,Jim Reid,F,1968,210
3674,19550830,St. Mary's University,1991,6-8,reidro01,Robert Reid,F-G,1978,205
3675,19861030,Florida State University,2012,6-8,reidry01,Ryan Reid,F,2012,232
3676,19820408,University of Iowa,2007,6-11,reineja01,Jared Reiner,C,2005,255
3677,19141217,New York University,1950,5-11,reisech01,Chick Reiser,G-F,1948,165
3678,19640216,University of Michigan,1988,6-6,rellfri01,Richard Rellford,F,1988,230
3679,19730219,University of Texas at Austin,1996,6-3,renchte01,Terrence Rencher,G,1996,185
3680,19290811,Drake University,1952,6-2,rennijo01,John Rennicke,G,1952,185
3681,19210307,University of Notre Dame,1947,6-2,rensbro01,Bob Rensberger,F,1947,170
3682,19760111,,2003,6-11,rentzef01,Efthimi Rentzias,C,2003,250
3683,19720206,Michigan State University,1999,6-1,respesh01,Shawn Respert,G,1996,195
3684,19511223,University of San Francisco,1982,6-9,restake01,Kevin Restani,F-C,1975,225
3685,19471123,University of Houston,1970,6-4,reynoge01,George Reynolds,G,1970,195
3686,19621223,Louisiana State University,1996,6-8,reynoje01,Jerry Reynolds,G-F,1986,200
3687,19430213,Rice University,1969,6-10,rhineke01,Kendall Rhine,C,1968,230
3688,19270902,Western Kentucky University,1953,6-1,rhodege01,Gene Rhodes,G,1953,170
3689,19730924,University of Southern California,2000,6-6,rhodero01,Rodrick Rhodes,G-F,1998,225
3690,19670528,University of Michigan,2004,6-7,ricegl01,Glen Rice,F,1990,215
3691,19910101,Georgia Institute of Technology,2015,6-6,ricegl02,Glen Rice,G,2014,206
3692,19841225,University of Florida,2010,6-9,richach01,Chris Richard,F,2008,270
3693,19560807,Seattle University,1987,6-3,richacl01,Clint Richardson,G,1980,195
3694,19810120,Michigan State University,2015,6-6,richaja01,Jason Richardson,G,2002,220
3695,19840211,Delta State University,2009,6-6,richaje01,Jeremy Richardson,G-F,2007,185
3696,19930915,University of Tennessee,2017,6-6,richajo01,Josh Richardson,G,2016,200
3697,19960105,Syracuse University,2017,6-6,richama01,Malachi Richardson,G,2017,205
3698,19550411,University of Montana,1986,6-5,richami01,Micheal Ray Richardson,G-F,1979,189
3699,19790724,Hofstra University,2002,6-5,richano01,Norm Richardson,G,2002,190
3700,19660514,"University of California, Los Angeles",1999,6-1,richapo01,Pooh Richardson,G,1990,180
3701,19800413,DePaul University,2013,6-6,richaqu01,Quentin Richardson,G,2001,223
3702,19650630,Kansas State University,2002,6-5,richmmi01,Mitch Richmond,G,1989,215
3703,19370312,North Carolina State University,1960,6-9,richtjo01,John Richter,F,1960,225
3704,19331204,Duquesne University,1958,6-7,rickedi01,Dick Ricketts,F-C,1956,215
3705,19710312,"University of Nevada, Las Vegas",2002,6-5,rideris01,Isaiah Rider,G,1994,215
3706,19480213,University of California,1972,6-4,ridglja01,Jackie Ridgle,G,1972,195
3707,19810213,University of Oregon,2015,6-2,ridnolu01,Luke Ridnour,G,2004,175
3708,19160712,College of Wooster,1949,5-11,riebeme01,Mel Riebe,G-F,1947,180
3709,19450826,Duke University,1968,6-6,riedybo01,Bob Riedy,F,1968,215
3710,19231214,Tulane University,1951,6-4,riffeji01,Jim Riffey,F,1951,200
3711,19711217,,2003,6-7,rigauan01,Antoine Rigaudeau,G,2003,210
3712,19500228,University of South Carolina,1975,6-10,rikerto01,Tom Riker,C-F,1973,225
3713,19480706,Mount St. Mary's University,1971,6-9,rileybo01,Bob Riley,F,1971,235
3714,19700602,University of Michigan,1999,7-0,rileyer01,Eric Riley,C,1994,245
3715,19450320,University of Kentucky,1976,6-4,rileypa01,Pat Riley,G-F,1968,205
